Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,FalsePositiveRate,PatternBits,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,1,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,2,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,4,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,8,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,16,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,32,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,64,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,128,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,256,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,512,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,1024,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,2048,1,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,1,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,2,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,4,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,8,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,16,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,32,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,64,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,128,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,256,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,512,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,1024,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,32,1000000000,2048,20,Yes,,,,,,,,,,,
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,1,1,No,1,1,0.06231925846098212,0.7085448864339011,2,27,0.018932666444444447,7.7874972020033e-05,0.018925277709960935,7.270166079753858e-05,52839383142.772606
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,2,1,No,1,1,0.062121237884251,0.7137737331239911,2,27,0.019007059814814816,7.695520567982781e-05,0.019000238136008936,7.283988192206843e-05,52630919299.101654
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,4,1,No,1,1,0.062011011302594655,0.7160734964320191,2,27,0.01904101074074074,7.10883082321331e-05,0.019034191343519424,6.829541421644666e-05,52537036218.27203
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,8,1,No,1,1,0.061966167003588174,0.7171950535495326,2,27,0.01905828285185185,0.00013921305209530115,0.01905118822168421,0.00013007893198276353,52490164307.01116
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,16,1,No,1,1,0.062053073602368884,0.7173334921283956,2,27,0.019076856555555556,0.003285861105272232,0.01906955259817618,0.003298087871769093,52439615185.07993
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,32,1,No,1,1,0.06231502660200064,0.7168661023162448,2,27,0.0190852782962963,0.00020827446100993015,0.019078022003173833,0.0001848376501333317,52416335395.44295
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,64,1,No,1,1,0.1414858293977432,0.5711662359343147,2,25,0.02018720376,6.071469909188893e-05,0.020180226669311522,5.3206240887616385e-05,49553457272.14849
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,128,1,No,1,1,0.4024359272059867,0.34040863994887954,2,24,0.020946253208333338,8.201217063429364e-05,0.020938806692759198,7.735832524388555e-05,47758213477.64807
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,256,1,No,1,1,0.5924973767495655,0.2310699308857048,2,24,0.021657527833333332,8.598858437707648e-05,0.02165055068333944,8.507127496502191e-05,46188201613.2514
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,512,1,No,1,1,0.6639077910953187,0.1869749398545258,2,22,0.02302688840909091,0.00011193920439124614,0.023019864775917744,0.00011453246921289485,43440741713.05086
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,1024,1,No,1,1,0.6853886145171528,0.17040857378345492,2,21,0.02416181680952381,0.0003097347569215548,0.02415462866283598,0.0003145916686199326,41399932657.15518
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,2048,1,No,1,1,0.6885640359210252,0.16352484351887636,2,21,0.024975734857142856,0.0004076837512256247,0.024968214761643178,0.0004075317836354325,40050921122.97216
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,1,20,No,0.000736391,20,0.035721166979573046,0.7107869046097137,2,16,0.033071315937500005,0.00020190537347117426,0.033063614130020146,0.00020381266475734137,30244727514.287342
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,2,20,No,0.000751934,20,0.03565455510688375,0.7159177128406502,2,16,0.033116055625,3.312817255092615e-05,0.033108286380767814,3.2191259791490726e-05,30203918997.779583
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,4,20,No,0.000743488,20,0.03564572988846293,0.7179980436945909,2,16,0.033137207937499996,5.5707928707710114e-05,0.033129642248153686,6.030080907684725e-05,30184449095.75593
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,8,20,No,0.000752345,20,0.03567732542567184,0.7192038932526915,2,16,0.033148817375,0.0001743303232021051,0.03314071607589721,0.00017480752248873042,30174363091.90936
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,16,20,No,0.000747766,20,0.035711805813444256,0.7195711146858919,2,16,0.033151427250000004,3.524475351662205e-05,0.033143710136413575,4.16484008196953e-05,30171637269.46015
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,32,20,No,0.000756743,20,0.03588654567494597,0.7190927733345114,2,16,0.033159614250000004,3.596894073727247e-05,0.03315183162689209,2.5867326788827753e-05,30164245862.929043
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,64,20,No,0.000751396,20,0.08388276740631434,0.5730983565087937,2,15,0.03402376106666667,4.6278513265316445e-05,0.03401604944864909,4.168092820926887e-05,29397887650.346
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,128,20,No,0.000758103,20,0.2451680965868396,0.34138736031925604,2,15,0.03439710333333333,0.0024108162596600522,0.03438903020222982,0.0024104086403305284,29079040441.65686
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,256,20,No,0.000756301,20,0.37149534268855,0.23171797125033153,2,15,0.03455519966666667,3.72011868337299e-05,0.034547417195638024,4.135672136302907e-05,28945723911.48999
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,512,20,No,0.00075307,20,0.4389794313471134,0.18729398498970504,2,15,0.03482638180000001,4.783089234651888e-05,0.03481863250732422,5.337984769723362e-05,28720254874.73256
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,1024,20,No,0.000756408,20,0.47327567360386597,0.17069994738814107,2,15,0.03499178233333333,6.775847324764559e-05,0.03498380559285482,6.534625815085015e-05,28584654615.284122
bloom_filter_retrieve_u64,0,NVIDIA B200,U64,U64,64,1000000000,2048,20,No,0.000756221,20,0.49017729643919705,0.16394262235686494,2,15,0.0350985814,9.052033290973666e-05,0.03509063466389974,8.825873940199458e-05,28497632190.98376
