Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,1,1,No,0.12244606531283343,0.705243838332351,2,59,0.008561194220338986,0.00010570424846563018,0.008554544287212824,0.00011355633209268123,116896934123.63084
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,2,1,No,0.12191119632128465,0.7177231025051372,2,59,0.008607928627118646,0.000134297241859488,0.00860168836884579,0.0001264335537741187,116256246113.48064
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,4,1,No,0.12150039851017319,0.7242057206641261,2,58,0.00863162824137931,0.0001456957659135571,0.008625416870774895,0.0001387729272465025,115936425448.40402
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,8,1,No,0.12134971115009785,0.7293806710867758,2,58,0.008644372931034485,0.00011028864924563871,0.008638136255330053,0.00010960659778327535,115765712700.23236
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,16,1,No,0.12111335076193536,0.735852051597072,2,58,0.00865656462068966,0.004780252903633788,0.008650289075127963,0.0047754698743278584,115603073066.68906
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,32,1,No,0.12108288887779879,0.7468636603864965,2,58,0.008667860965517239,0.0002862973772559526,0.008661752273296488,0.0002891548966949966,115450080820.589
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,64,1,No,0.2693083765449773,0.516741604040801,2,52,0.009625420480769233,0.0001202804287022636,0.009619034492052519,0.00011232883021614858,103960537913.26192
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,128,1,No,0.7269848797050199,0.23534439062406937,2,46,0.01097088132608696,0.0003756838227854924,0.010964162121648371,0.0003744237688778284,91206239829.81184
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,256,1,No,0.787454245779307,0.1243226088355114,2,35,0.014664390914285718,0.00018151818749138833,0.014657738031659808,0.0001798490959304525,68223350549.72751
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,512,1,No,0.715032664694681,0.09357178326358309,2,28,0.018003448857142862,0.00013791241320103322,0.017996665069035123,0.00013602165535108932,55565850459.73821
bloom_filter_add_u32,0,NVIDIA B200,U64,U32,32,1000000000,1024,1,No,0.6378833940217579,0.0996815196348936,2,25,0.020231800799999998,0.00012087643031491712,0.0202245824432373,0.00010423070107053451,49444778541.491234
